Name,Product SKU,Amount
Anna Davis,KON0O1EA,122.49
Tom Garcia,MM68N84E,123.21
Anna Martinez,2Y8NAJO0,69.59
Tom Davis,Z4G95SEW,68.42
Sophia Garcia,NYZV3IMG,122.24
Mike Garcia,Z8E4EU4S,88.72
Alex Martinez,80ZZ021G,131.39
Tom Wilson,1841DL6A,47.8
John Williams,ERXWU0AZ,82.42
Tom Johnson,C00GA9O8,131.35
Alex Miller,MG4X0IWL,103.16
Alex Davis,EQKMN4KO,23.77
Laura Williams,WSRGTC1S,120.1
Anna Davis,4PME7IGP,42.64
Tom Davis,NXJQ5EZE,98.53
Emily Johnson,TSX4QC0J,60.37
Mike Wilson,5QQW2WCO,122.29
Laura Martinez,VN5RAWGP,118.8
Laura Garcia,5XYAEDJ3,134.81
John Brown,IRBGQ5GO,115.23
Alex Brown,FG5M26L3,109.54
Alex Jones,PFTO8YL1,113.8
Mike Martinez,PER0CG26,29.9
Alex Wilson,R4YC1UVR,71.91
Sophia Brown,C67WHI3T,94.38
John Johnson,6UE9D42A,44.9
Emily Miller,407MUVUI,104.78
Anna Williams,KNHKD4TN,31.61
Mike Johnson,2OPZJ85D,67.16
