This file contains sales data for the month.,,
"Each row includes a customer name, product SKU, and the sales amount.",,
Chris Garcia,57PT59NK,73.27
Jane Miller,XDXSLTTA,126.56
Emily Brown,5K2LLTB4,109.92
Tom Miller,QU9HSR08,58.21
Laura Wilson,2ND4M25S,57
Chris Williams,DKIOB7K2,105.48
John Jones,W3LNUJO1,23.89
Sophia Miller,HHIZT16O,133.59
Anna Miller,1FT0MBLQ,52.09
Emily Jones,VNFRAFZG,44.01
Anna Jones,I3B54XYO,109.1
Alex Martinez,2NOC91SR,52.7
Jane Miller,G519HGPJ,27.15
John Miller,VX701PAK,43.34
Alex Jones,28ZOJZZV,68.6
Alex Martinez,3C9379CT,102.38
Tom Martinez,JNCRXYQ0,109.87
John Martinez,7T7A4TEB,41.35
Mike Wilson,CDVHLOC0,116.8
Sophia Johnson,NGSV808T,110.07
Mike Jones,KJEVUZNS,90.14
Alex Garcia,VVGRGLUM,52.91
John Garcia,PEO50Q1C,65.84
Sophia Wilson,RAY41PM6,37.23
John Johnson,LH9CS6D1,79.79
Mike Martinez,QXTC84VW,46.47
John Wilson,RC3FFW5E,47.41
Jane Martinez,2FDSWNR8,72.28
Chris Williams,QZR8XPIE,67.01
Anna Williams,P9OFA99O,55.34
Sophia Martinez,6R2QQ4U0,81.93
Chris Wilson,R2ZR4K70,26.12
Laura Williams,LEZB8KF7,62.32
John Williams,X62L68CQ,45.68
Jane Davis,N5IVRKXL,34.72
Emily Miller,N4TUSBNC,104.59
Tom Martinez,42AGE3JX,93.38
Alex Smith,3OGZI9KQ,102.47
Jane Martinez,6WMQU6E6,16.18
Tom Miller,T3SGRMFZ,47.34
Jane Williams,MMF9G0UK,133.01
Alex Martinez,HOCTLNRT,19.4
Tom Johnson,90AYMGSW,72.27
Emily Wilson,7EZQY174,78.33
Laura Martinez,C4UE0JL2,89.63
Emily Smith,PJ0VEOU7,68.48
Alex Martinez,R4BKZDUZ,114.64
Jane Miller,OD8E4XYS,22.92
John Martinez,ZSY9D28L,119.37
Tom Garcia,9RACR7ZV,115.77
Jane Williams,EJ2AU9RI,17.81
Alex Johnson,KON0O1EA,122.49
Anna Davis,MM68N84E,123.21
Tom Garcia,2Y8NAJO0,69.59
Anna Martinez,Z4G95SEW,68.42
Tom Davis,NYZV3IMG,122.24
Sophia Garcia,Z8E4EU4S,88.72
Mike Garcia,80ZZ021G,131.39
Alex Martinez,1841DL6A,47.8
Tom Wilson,ERXWU0AZ,82.42
John Williams,C00GA9O8,131.35
Tom Johnson,MG4X0IWL,103.16
Alex Miller,EQKMN4KO,23.77
Alex Davis,WSRGTC1S,120.1
Laura Williams,4PME7IGP,42.64
Anna Davis,NXJQ5EZE,98.53
Tom Davis,TSX4QC0J,60.37
Emily Johnson,5QQW2WCO,122.29
Mike Wilson,VN5RAWGP,118.8
Laura Martinez,5XYAEDJ3,134.81
Laura Garcia,IRBGQ5GO,115.23
John Brown,FG5M26L3,109.54
Alex Brown,PFTO8YL1,113.8
Alex Jones,PER0CG26,29.9
Mike Martinez,R4YC1UVR,71.91
Alex Wilson,C67WHI3T,94.38
Sophia Brown,6UE9D42A,44.9
John Johnson,407MUVUI,104.78
Emily Miller,KNHKD4TN,31.61
Anna Williams,2OPZJ85D,67.16
Mike Johnson,,
