This file contains sales data for the month.,,
"Each row includes a customer name, product SKU, and the sales amount.",,
Mike Jones,JF05ATT5,116.24
Jane Garcia,0E8PA9S8,22.2
John Jones,7AN5W0W9,64.37
Alex Brown,IQZSUSSP,91.5
Jane Smith,ILJGJSEY,55.09
Laura Williams,52RLD3PD,129.51
Laura Wilson,DMG8BEJ3,118.74
Laura Smith,HCU6B8Q4,123.13
Mike Brown,YG4NOD32,35.07
Laura Davis,E8X68G2G,91.82
Anna Johnson,Q5AALK02,100.54
Laura Williams,6970WYFT,99.13
Laura Brown,7JDE1Q4R,62.52
Tom Johnson,42JKJSDW,109.57
Chris Garcia,QTTYUCPT,82.62
Laura Wilson,XHTFVVGL,13.62
Sophia Smith,IOYM1EML,78.72
John Garcia,DMJ5LHLG,129.74
John Brown,H6DFXSBO,56.02
Tom Davis,59HQCV49,121.13
Alex Smith,RK7WDHXL,94.67
Mike Johnson,2NNNW4QL,123.51
Chris Miller,VJSSYP9H,113.93
Emily Williams,3XPDTXLK,124.58
Jane Johnson,FB7UACMG,75.62
Jane Wilson,JV0RR9Z4,58.31
Laura Johnson,47YYWFQL,111.68
Tom Miller,BS33KHDH,84.93
Sophia Brown,W7ZEQUZH,103.56
Jane Jones,6GWNBVNR,38.35
Laura Miller,AM4PT0O7,97.43
John Brown,3875WP2B,21.97
Chris Garcia,AP62YZQG,56.89
Chris Garcia,D6XNS7RY,131.74
Laura Wilson,T0JOGRH4,125.01
John Brown,PB36U0VJ,133.58
Laura Williams,Y2RBVHGS,79.69
Jane Garcia,GUUP5FS4,131.88
Mike Davis,83CZKECC,29.92
Chris Wilson,UUB8JL7W,65.24
John Martinez,7J45H4XF,96.72
Chris Garcia,1K6IW0C7,76.66
Laura Davis,H70OTK3Y,52.78
Mike Johnson,OCM6VVHD,123.62
Anna Garcia,DB9339AJ,58.59
Sophia Miller,W69V1NAU,82.89
John Smith,V5SJAXY0,27.42
Sophia Garcia,N63016I5,72.28
Emily Jones,XCM4X61G,79.6
Laura Jones,CRKGNF0H,17.06
Laura Davis,KT3ZUOCG,122.48
Laura Davis,2XLHCMX5,96.03
Mike Davis,Y7WTYFCF,50.02
Laura Wilson,N4J5GZD6,94.79
Sophia Smith,DOURT9N2,78.28
Jane Smith,JTWNS9E4,26.72
Jane Jones,EI6ZIIXB,119.06
Anna Williams,4YPRV6AD,119.5
John Garcia,S2K12WYC,44.43
Mike Wilson,1W1U5A26,107.19
Chris Williams,AQCCJZ15,62.82
Laura Jones,AXVA6ALB,28.74
Alex Miller,043Y1D47,106.03
Tom Miller,9TP2BEFK,52.24
Laura Smith,E37T62QO,23.45
Sophia Smith,IQ2LCQ8X,135.16
Alex Brown,024ORCAA,115.11
Alex Davis,PWY36D1G,27.35
Anna Wilson,TKJDM4FK,116.88
Alex Davis,RQDVXEEB,80.11
Jane Garcia,K55RHYAV,112.85
Tom Williams,6JY1DF6J,30.69
Chris Davis,7WNW4W5R,116.09
Emily Brown,KI6NEFHP,106.96
Chris Martinez,C0UUWV0N,31.1
Alex Williams,3ICHWCS9,97.67
Emily Martinez,206LXSBN,94.39
Jane Smith,G4R80FQC,130.25
Sophia Williams,SF6FCKI9,27.76
Laura Brown,IQ9EMXVT,110.63
Laura Davis,F9WQILVP,43.53
Mike Martinez,,
